date,ticker,high,low,open,close,split_coefficient,volume
2026-07-15,NYSE:WLK,77.61,76.07,76.5,77.05,1.0,589112
2026-07-16,NYSE:WLK,78.17,76.44,76.47,77.08,1.0,549860
2026-07-17,NYSE:WLK,79.84,77.08,78.2,77.63,1.0,591959
2026-07-20,NYSE:WLK,77.69,76.0,77.08,76.91,1.0,542075
2026-07-21,NYSE:WLK,77.35,75.34,77.26,76.22,1.0,908270
2026-07-22,NYSE:WLK,77.99,76.14,77.055,77.045,1.0,895390
2026-06-03,NASDAQ:PAA,23.23,22.88,23.05,22.91,1.0,1298399
2026-06-04,NASDAQ:PAA,23.035,22.81,22.9,22.92,1.0,1409976
2026-06-05,NASDAQ:PAA,22.865,22.535,22.83,22.6,1.0,2676787
2026-06-08,NASDAQ:PAA,22.87,22.58,22.87,22.8,1.0,2600788
2026-06-09,NASDAQ:PAA,22.74,22.365,22.73,22.47,1.0,2197147
2026-06-10,NASDAQ:PAA,23.08,22.48,22.6,22.73,1.0,1832302
2026-06-11,NASDAQ:PAA,23.075,22.42,22.79,22.48,1.0,2891866
2026-06-12,NASDAQ:PAA,22.825,22.38,22.49,22.44,1.0,2705473
2026-06-15,NASDAQ:PAA,22.215,21.755,22.162,21.94,1.0,3846974
2026-06-16,NASDAQ:PAA,22.08,21.691,21.85,21.81,1.0,2165187
2026-06-17,NASDAQ:PAA,21.85,21.495,21.8,21.58,1.0,2770878
2026-06-18,NASDAQ:PAA,21.5975,20.96,21.55,21.34,1.0,8674339
2026-06-22,NASDAQ:PAA,21.665,21.11,21.374000000000002,21.48,1.0,2166436
2026-06-23,NASDAQ:PAA,21.96,21.31,21.41,21.91,1.0,1693406
2026-06-24,NASDAQ:PAA,21.815,21.3415,21.63,21.47,1.0,2550278
2026-06-25,NASDAQ:PAA,21.82,21.335,21.39,21.62,1.0,1197871
2026-06-26,NASDAQ:PAA,21.94,21.52,21.52,21.85,1.0,950775
2026-06-29,NASDAQ:PAA,22.275,21.86,22.01,22.12,1.0,2015913
2026-06-30,NASDAQ:PAA,22.49,22.16,22.18,22.26,1.0,1314180
2026-07-01,NASDAQ:PAA,22.44,22.1899,22.27,22.24,1.0,1795491
2026-07-02,NASDAQ:PAA,22.62,22.18,22.3,22.51,1.0,2100523
2026-07-06,NASDAQ:PAA,22.685,22.22,22.32,22.27,1.0,1273857
2026-07-07,NASDAQ:PAA,22.94,22.3,22.3,22.68,1.0,1641859
2026-07-08,NASDAQ:PAA,23.215,22.745,22.95,23.13,1.0,1702695
2026-07-09,NASDAQ:PAA,23.21,22.74,23.13,22.83,1.0,1993887
2026-07-10,NASDAQ:PAA,23.0,22.57,22.97,22.89,1.0,1456912
2026-07-13,NASDAQ:PAA,23.66,23.03,23.22,23.54,1.0,2722700
2026-07-14,NASDAQ:PAA,23.765,23.565,23.58,23.62,1.0,2066929
2026-07-15,NASDAQ:PAA,23.8,23.335,23.6,23.35,1.0,1455015
2026-07-16,NASDAQ:PAA,23.81,23.3,23.3,23.75,1.0,1492521
2026-07-17,NASDAQ:PAA,24.11,23.78,23.98,23.87,1.0,1823851
