Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:NWG	0.034006111323833466	19.70	2026-08-14	0.0875	ADR	0	0	1.4379	20.79
NYSE:OHI	0.032567061483860016	50.08	2026-08-03	0.6725		77.35413864306963	95.43453133072677	2.8695	51.94
NYSE:SPH	0.02798778936266899	18.07	2026-08-04	0	Withholding Tax: 10%	74.37908920860698	90.76841968927707	2.0100	17.00
NYSE:BIP	0.02368241921067238	40.55	2026-08-31	0.4425		-131.59017783379954	-41.39975096753336	0.8850	46.64
NYSE:APAM	0.021269124001264572	43.90	2026-08-17	0.865		0	0	4.2331	38.25
NYSE:BXSL	0.018478812649846077	24.66	2026-06-30	0.77		0	0	1.2201	24.55
NASDAQ:SND	0.015675676986575127	4.54	2026-07-28	0		4.587195460165185	16.31820790746254	0.5052	3.00
NYSE:SSTK	0.012837780639529228	6.34	2026-06-04	0.345		19.19585974959904	12.818769864893374	-5.6111	28.85
NASDAQ:TRIN	0.010182632133364677	18.04	2026-08-14	0.51		0	0	1.2530	18.03
NYSE:DHT	0.006867200136184692	19.09	2026-05-21	0		0	0	1.7101	20.20
NASDAQ:NWBI	0.003699256805703044	16.12	2026-08-06	0.2		0	0	1.0448	16.29
NASDAQ:SPOK	0.0008574281819164753	11.49	2026-08-19	0.3125		20.49463704266552	22.25265420521536	0.7909	14.00
